snow_type_dry,snow_type_unknown,snow_type_wet,trigger_type_explosive,trigger_type_natural,trigger_type_unknown,max_elevation,min_elevation,aspect_degrees,length,width,perimeter,area,aval_size_class,weight_AAI,risk_index
1,0,0,0,1,0,2803.0,2704.0,177.0,163.0,71.0,419.0,9416.0,2,2,0
1,0,0,0,0,0,2103.0,2061.0,94.0,50.0,25.0,137.0,1103.0,2,2,0
0,1,0,0,1,0,2558.0,2454.0,82.0,174.0,90.0,475.0,9130.0,2,2,0
1,0,0,0,1,0,2310.0,2240.0,295.0,129.0,41.0,298.0,3688.0,2,2,0
1,0,0,0,1,0,2041.0,1967.0,48.0,138.0,50.0,330.0,4463.0,2,2,0
0,1,0,0,1,0,2150.0,1992.0,44.0,189.0,24.0,393.0,2323.0,2,2,0
0,1,0,0,1,0,2639.0,2541.0,51.0,184.0,27.0,385.0,2487.0,2,2,0
0,1,0,0,1,0,2106.0,2036.0,131.0,166.0,89.0,429.0,10275.0,2,2,2
1,0,0,0,1,0,2457.0,2351.0,28.0,135.0,33.0,301.0,3656.0,2,2,2
1,0,0,0,1,0,2555.0,2412.0,53.0,122.0,556.0,1259.0,31531.0,3,3,2
1,0,0,0,1,0,2276.0,2224.0,63.0,113.0,24.0,246.0,1904.0,2,2,2
1,0,0,0,0,0,2458.0,2378.0,153.0,128.0,32.0,289.0,3175.0,2,2,2
1,0,0,0,0,1,2335.0,2263.0,34.0,114.0,16.0,237.0,1245.0,2,2,2
0,1,0,0,1,0,2599.0,2433.0,16.0,190.0,373.0,1045.0,40625.0,3,3,2
0,1,0,0,1,0,2633.0,2477.0,51.0,189.0,35.0,416.0,2571.0,2,2,2
1,0,0,0,0,0,2092.0,1638.0,129.0,629.0,49.0,1299.0,11187.0,3,3,2
1,0,0,1,0,0,2618.0,2474.0,106.0,200.0,39.0,435.0,3517.0,2,2,1
1,0,0,0,1,0,2628.0,2617.0,233.0,64.0,90.0,269.0,4140.0,2,2,1
1,0,0,0,1,0,2587.0,2543.0,317.0,65.0,31.0,184.0,1530.0,2,2,1
1,0,0,0,0,0,2397.0,2366.0,49.0,39.0,9.0,85.0,234.0,1,1,1
1,0,0,0,0,0,2078.0,1963.0,122.0,159.0,45.0,368.0,5431.0,2,2,2
1,0,0,0,0,0,2014.0,1995.0,129.0,44.0,21.0,114.0,674.0,1,1,2
1,0,0,0,0,0,2522.0,2412.0,80.0,171.0,22.0,360.0,2118.0,2,2,2
1,0,0,0,0,0,1911.0,1875.0,110.0,56.0,20.0,125.0,820.0,2,2,2
1,0,0,0,0,1,2490.0,2287.0,28.0,304.0,591.0,1451.0,116213.0,3,3,2
1,0,0,0,0,0,2159.0,2124.0,298.0,57.0,14.0,128.0,594.0,2,2,2
0,1,0,0,1,0,2310.0,2204.0,17.0,175.0,89.0,439.0,10212.0,2,2,2
0,1,0,0,1,0,2295.0,2161.0,28.0,182.0,45.0,403.0,6597.0,2,2,1
0,1,0,0,1,0,2513.0,2382.0,248.0,183.0,34.0,409.0,5604.0,2,2,1
0,1,0,0,1,0,2617.0,2478.0,38.0,187.0,40.0,419.0,5818.0,2,2,1
0,1,0,0,1,0,2474.0,2393.0,77.0,176.0,89.0,464.0,10285.0,2,2,1
0,1,0,0,1,0,2302.0,2210.0,356.0,187.0,32.0,402.0,3658.0,2,2,1
0,1,0,0,1,0,2241.0,2143.0,199.0,188.0,106.0,667.0,9062.0,2,2,1
0,1,0,0,1,0,2580.0,2484.0,75.0,188.0,144.0,593.0,14572.0,2,2,1
0,1,0,0,1,0,2595.0,2508.0,217.0,171.0,114.0,467.0,14625.0,2,2,1
1,0,0,0,1,0,2469.0,2385.0,357.0,154.0,71.0,401.0,9272.0,2,2,2
1,0,0,0,0,0,2571.0,2462.0,138.0,199.0,40.0,426.0,4240.0,2,2,2
1,0,0,0,0,0,2527.0,2355.0,237.0,272.0,47.0,607.0,8356.0,2,2,2
1,0,0,0,0,0,2204.0,2080.0,105.0,167.0,23.0,358.0,2671.0,2,2,1
0,1,0,0,1,0,2068.0,2014.0,54.0,178.0,65.0,409.0,9059.0,2,2,1
0,1,0,0,0,0,1965.0,1923.0,155.0,71.0,92.0,274.0,4470.0,2,2,1
1,0,0,0,1,0,2386.0,2330.0,145.0,96.0,20.0,209.0,1509.0,2,2,1
0,1,0,0,0,0,2068.0,2030.0,134.0,69.0,10.0,142.0,340.0,2,2,2
0,0,1,0,1,0,2441.0,2427.0,219.0,41.0,25.0,112.0,774.0,1,1,2
1,0,0,0,1,0,2478.0,2389.0,316.0,147.0,40.0,345.0,4895.0,2,2,0
1,0,0,0,1,0,2484.0,2415.0,61.0,100.0,16.0,211.0,1241.0,2,2,0
1,0,0,0,1,0,2634.0,2571.0,113.0,121.0,57.0,279.0,4171.0,2,2,0
1,0,0,0,1,0,2521.0,2423.0,265.0,151.0,64.0,365.0,7104.0,2,2,0
1,0,0,0,1,0,2401.0,2316.0,3.0,152.0,26.0,334.0,3427.0,2,2,0
1,0,0,0,1,0,2806.0,2722.0,56.0,125.0,25.0,271.0,2071.0,2,2,0
1,0,0,0,1,0,2093.0,2031.0,182.0,124.0,17.0,262.0,1629.0,2,2,0
1,0,0,0,1,0,2660.0,2582.0,171.0,149.0,56.0,358.0,6243.0,2,2,0
1,0,0,0,1,0,2568.0,2469.0,320.0,143.0,49.0,340.0,5512.0,2,2,0
1,0,0,0,1,0,2437.0,2362.0,78.0,118.0,39.0,268.0,3144.0,2,2,0
1,0,0,0,1,0,2597.0,2497.0,246.0,128.0,98.0,393.0,11016.0,2,2,0
1,0,0,0,1,0,2611.0,2515.0,19.0,159.0,40.0,350.0,4192.0,2,2,0
1,0,0,0,1,0,2276.0,2185.0,127.0,156.0,42.0,356.0,4483.0,2,2,0
1,0,0,0,1,0,2343.0,2258.0,19.0,145.0,29.0,319.0,3330.0,2,2,0
1,0,0,0,1,0,2273.0,2190.0,66.0,160.0,46.0,365.0,5570.0,2,2,0
1,0,0,0,1,0,2519.0,2399.0,357.0,156.0,417.0,963.0,46522.0,3,3,0
1,0,0,0,1,0,2132.0,2005.0,271.0,155.0,41.0,351.0,3043.0,2,2,0
1,0,0,0,1,0,2647.0,2577.0,177.0,146.0,75.0,373.0,8885.0,2,2,0
